planet_name,mass,radius,orbital_period_x,discovered_year,detection_type,star_name,star_distance,star_mass,star_radius,star_age,pl_hostname,pl_letter,orbital_period_y,eccentricity,planet_jup_mass,pl_dens,planet_earth_mass,observatory_name,telescope_name,moons_n,galactic_longitude,galactic_latitude,stellar_gravity
Kepler-368 b,,0.29100000000000004,26.84768,2014.0,Primary Transit,Kepler-368,,0.71,2.02,,Kepler-368,b,26.84768,,,,,Kepler,0.95 m Kepler Telescope,0.0,77.522411,13.097383,3.9
Kepler-368 c,,0.34600000000000003,72.379334,2014.0,Primary Transit,Kepler-368,,0.71,2.02,,Kepler-368,c,72.379334,,,,,Kepler,0.95 m Kepler Telescope,0.0,77.522411,13.097383,3.9
Kepler-369 b,,0.10099999999999999,2.732756,2014.0,Primary Transit,Kepler-369,,0.54,0.47,,Kepler-369,b,2.732756,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.40244,13.087444999999999,4.79
Kepler-369 c,,0.126,14.871572,2014.0,Primary Transit,Kepler-369,,0.54,0.47,,Kepler-369,c,14.871572,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.40244,13.087444999999999,4.79
Kepler-37 b,0.00875,0.0285,13.367308,2013.0,Primary Transit,Kepler-37,66.0,0.8029999999999999,0.77,6.0,Kepler-37,b,13.36731,0.0,0.01,,3.1783,Kepler,0.95 m Kepler Telescope,0.0,74.43709799999999,17.843366,4.57
Kepler-37 c,0.038,0.067,21.301886,2013.0,Primary Transit,Kepler-37,66.0,0.8029999999999999,0.77,6.0,Kepler-37,c,21.302,,0.03776,,12.0,Kepler,0.95 m Kepler Telescope,0.0,74.43709799999999,17.843366,4.57
Kepler-37 d,0.0384,0.17300000000000001,39.792187,2013.0,Primary Transit,Kepler-37,66.0,0.8029999999999999,0.77,6.0,Kepler-37,d,39.7922,,0.03839,,12.2,Kepler,0.95 m Kepler Telescope,0.0,74.43709799999999,17.843366,4.57
Kepler-370 b,,0.142,4.57953,2014.0,Primary Transit,Kepler-370,,0.94,0.9,,Kepler-370,b,4.57953,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.50998299999999,10.942969,4.53
Kepler-370 c,,0.17,19.02293,2014.0,Primary Transit,Kepler-370,,0.94,0.9,,Kepler-370,c,19.02293,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.50998299999999,10.942969,4.53
Kepler-371 b,,0.16899999999999998,34.763278,2014.0,Primary Transit,Kepler-371,,0.94,0.99,,Kepler-371,b,34.763278,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.514721,9.818515,4.39
Kepler-371 c,,0.159,67.96801500000001,2014.0,Primary Transit,Kepler-371,,0.94,0.99,,Kepler-371,c,67.96801500000001,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.514721,9.818515,4.39
Kepler-372 b,,0.121,6.849692,2014.0,Primary Transit,Kepler-372,,1.15,1.14,,Kepler-372,b,6.849692,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.96005,15.109643,4.41
Kepler-372 c,,0.18600000000000003,20.053763,2014.0,Primary Transit,Kepler-372,,1.15,1.14,,Kepler-372,c,20.053763,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.96005,15.109643,4.41
Kepler-372 d,,0.151,30.092568,2014.0,Primary Transit,Kepler-372,,1.15,1.14,,Kepler-372,d,30.092568,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.96005,15.109643,4.41
Kepler-373 b,,0.121,5.535309,2014.0,Primary Transit,Kepler-373,,0.87,0.84,,Kepler-373,b,5.535309,,,,,Kepler,0.95 m Kepler Telescope,0.0,81.740303,16.744747,4.56
Kepler-373 c,,0.111,16.725948000000002,2014.0,Primary Transit,Kepler-373,,0.87,0.84,,Kepler-373,c,16.725948000000002,,,,,Kepler,0.95 m Kepler Telescope,0.0,81.740303,16.744747,4.56
Kepler-374 b,,0.092,1.897806,2014.0,Primary Transit,Kepler-374,,0.84,0.91,,Kepler-374,b,1.897806,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.507242,10.294167999999999,4.48
Kepler-374 c,,0.098,3.282807,2014.0,Primary Transit,Kepler-374,,0.84,0.91,,Kepler-374,c,3.282807,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.507242,10.294167999999999,4.48
Kepler-374 d,,0.11699999999999999,5.028219,2014.0,Primary Transit,Kepler-374,,0.84,0.91,,Kepler-374,d,5.028219,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.507242,10.294167999999999,4.48
Kepler-375 b,,0.129,12.125933999999999,2014.0,Primary Transit,Kepler-375,,0.89,0.84,,Kepler-375,b,12.125933999999999,,,,,Kepler,0.95 m Kepler Telescope,0.0,79.133969,16.245296,4.57
Kepler-375 c,,0.23600000000000002,19.986326000000002,2014.0,Primary Transit,Kepler-375,,0.89,0.84,,Kepler-375,c,19.986326000000002,,,,,Kepler,0.95 m Kepler Telescope,0.0,79.133969,16.245296,4.57
Kepler-376 b,,0.095,4.920199,2014.0,Primary Transit,Kepler-376,,1.05,1.18,,Kepler-376,b,4.920199,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.032845,10.209045,4.3
Kepler-376 c,,0.16,14.172327,2014.0,Primary Transit,Kepler-376,,1.05,1.18,,Kepler-376,c,14.172327,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.032845,10.209045,4.3
Kepler-377 b,,0.124,12.509528999999999,2014.0,Primary Transit,Kepler-377,,0.88,1.22,,Kepler-377,b,12.509528999999999,,,,,Kepler,0.95 m Kepler Telescope,0.0,72.72780300000001,7.719647,4.3
Kepler-377 c,,0.184,27.014976,2014.0,Primary Transit,Kepler-377,,0.88,1.22,,Kepler-377,c,27.014976,,,,,Kepler,0.95 m Kepler Telescope,0.0,72.72780300000001,7.719647,4.3
Kepler-378 b,,0.067,16.092361,2014.0,Primary Transit,Kepler-378,,0.96,0.67,,Kepler-378,b,16.092361,,,,,Kepler,0.95 m Kepler Telescope,0.0,79.457697,11.652488,4.65
Kepler-378 c,,0.062,28.906009,2014.0,Primary Transit,Kepler-378,,0.96,0.67,,Kepler-378,c,28.906009,,,,,Kepler,0.95 m Kepler Telescope,0.0,79.457697,11.652488,4.65
Kepler-379 b,,0.14800000000000002,20.09838,2014.0,Primary Transit,Kepler-379,,1.08,1.31,,Kepler-379,b,20.09838,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.019337,7.630534,4.27
Kepler-379 c,,0.204,62.784696999999994,2014.0,Primary Transit,Kepler-379,,1.08,1.31,,Kepler-379,c,62.784696999999994,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.019337,7.630534,4.27
Kepler-38 (AB) b,0.38,0.39,105.595,2012.0,Primary Transit,Kepler-38 A,,0.9490000000000001,1.757,,,,,,,,,,,,,,
Kepler-380 b,,0.106,3.930821,2014.0,Primary Transit,Kepler-380,,1.05,1.22,,Kepler-380,b,3.930821,,,,,Kepler,0.95 m Kepler Telescope,0.0,78.259373,20.342810999999998,4.29
Kepler-380 c,,0.113,7.630004,2014.0,Primary Transit,Kepler-380,,1.05,1.22,,Kepler-380,c,7.630004,,,,,Kepler,0.95 m Kepler Telescope,0.0,78.259373,20.342810999999998,4.29
Kepler-381 b,,0.08800000000000001,5.629021,2014.0,Primary Transit,Kepler-381,,1.34,1.57,,Kepler-381,b,5.629021,,,,,Kepler,0.95 m Kepler Telescope,0.0,74.072288,16.843563,4.12
Kepler-381 c,,0.1,13.391635,2014.0,Primary Transit,Kepler-381,,1.34,1.57,,Kepler-381,c,13.391635,,,,,Kepler,0.95 m Kepler Telescope,0.0,74.072288,16.843563,4.12
Kepler-382 b,,0.11800000000000001,5.262155,2014.0,Primary Transit,Kepler-382,,0.8,0.94,,Kepler-382,b,5.262155,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.368223,8.835883,4.4
Kepler-382 c,,0.142,12.162701,2014.0,Primary Transit,Kepler-382,,0.8,0.94,,Kepler-382,c,12.162701,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.368223,8.835883,4.4
Kepler-383 b,,0.11800000000000001,12.904532000000001,2014.0,Primary Transit,Kepler-383,,0.67,0.67,,Kepler-383,b,12.904532000000001,,,,,Kepler,0.95 m Kepler Telescope,0.0,70.89559200000001,10.373378,4.62
Kepler-383 c,,0.111,31.200751,2014.0,Primary Transit,Kepler-383,,0.67,0.67,,Kepler-383,c,31.200751,,,,,Kepler,0.95 m Kepler Telescope,0.0,70.89559200000001,10.373378,4.62
Kepler-384 b,,0.1,22.597053,2014.0,Primary Transit,Kepler-384,,0.76,0.88,,Kepler-384,b,22.597053,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.229247,16.637263,4.47
Kepler-384 c,,0.10099999999999999,45.348269,2014.0,Primary Transit,Kepler-384,,0.76,0.88,,Kepler-384,c,45.348269,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.229247,16.637263,4.47
Kepler-385 b,,0.244,10.043686,2014.0,Primary Transit,Kepler-385,,1.09,1.13,,Kepler-385,b,10.043686,,,,,Kepler,0.95 m Kepler Telescope,0.0,82.840337,13.766889,4.41
Kepler-385 c,,0.271,15.163160999999999,2014.0,Primary Transit,Kepler-385,,1.09,1.13,,Kepler-385,c,15.163160999999999,,,,,Kepler,0.95 m Kepler Telescope,0.0,82.840337,13.766889,4.41
Kepler-386 b,,0.124,12.31043,2014.0,Primary Transit,Kepler-386,,0.74,0.77,,Kepler-386,b,12.31043,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.039658,15.720548,4.56
Kepler-386 c,,0.141,25.193458,2014.0,Primary Transit,Kepler-386,,0.74,0.77,,Kepler-386,c,25.193458,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.039658,15.720548,4.56
Kepler-387 b,,0.092,6.7916360000000005,2014.0,Primary Transit,Kepler-387,,1.03,1.05,,Kepler-387,b,6.7916360000000005,,,,,Kepler,0.95 m Kepler Telescope,0.0,76.565986,15.816170000000001,4.35
Kepler-387 c,,0.079,11.837549000000001,2014.0,Primary Transit,Kepler-387,,1.03,1.05,,Kepler-387,c,11.837549000000001,,,,,Kepler,0.95 m Kepler Telescope,0.0,76.565986,15.816170000000001,4.35
Kepler-388 b,,0.07200000000000001,3.173315,2014.0,Primary Transit,Kepler-388,,0.59,0.59,,Kepler-388,b,3.173315,,,,,Kepler,0.95 m Kepler Telescope,0.0,74.731977,17.364924,4.69
Kepler-388 c,,0.077,13.297004000000001,2014.0,Primary Transit,Kepler-388,,0.59,0.59,,Kepler-388,c,13.297004000000001,,,,,Kepler,0.95 m Kepler Telescope,0.0,74.731977,17.364924,4.69
